Id,Category
807,positive
189,positive
223,positive
408,positive
8,positive
483,negative
881,positive
571,negative
687,negative
473,negative
20,negative
357,negative
726,negative
324,negative
756,positive
776,negative
87,positive
337,positive
355,positive
419,negative
685,positive
666,negative
561,positive
346,negative
539,negative
354,positive
550,negative
461,positive
322,negative
99,positive
479,positive
735,negative
553,positive
531,positive
338,negative
495,positive
256,negative
739,negative
119,negative
490,positive
332,negative
49,negative
11,positive
613,negative
6,negative
847,negative
253,negative
521,negative
444,negative
877,positive
32,negative
884,positive
554,positive
184,positive
271,positive
719,positive
91,positive
475,positive
402,negative
128,negative
899,negative
650,negative
329,positive
817,negative
816,negative
602,negative
476,positive
692,negative
460,positive
772,positive
17,positive
703,negative
400,negative
365,negative
600,negative
331,positive
737,negative
264,positive
67,negative
285,positive
654,negative
830,positive
446,negative
696,negative
709,negative
145,negative
856,positive
524,positive
360,positive
634,positive
815,positive
456,negative
721,negative
514,negative
395,negative
691,negative
105,negative
254,positive
47,negative
439,positive
590,negative
528,positive
489,positive
375,negative
195,positive
636,negative
513,positive
484,negative
744,negative
370,negative
819,negative
77,negative
806,positive
575,positive
755,positive
33,negative
445,negative
669,negative
784,negative
399,negative
762,positive
729,negative
768,positive
494,positive
39,negative
235,positive
30,negative
193,positive
677,positive
113,negative
503,positive
249,positive
640,negative
886,positive
340,negative
366,negative
147,positive
226,positive
693,positive
287,negative
233,positive
680,negative
221,positive
390,negative
315,positive
44,positive
747,negative
541,positive
203,positive
637,negative
